section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,f1_total_proj,nrfi_prob,yrfi_prob,nrfi_pick,model_prob,fair_odds_dec,kelly_pct,kelly_advice,status_reason,f1_away,f1_home,f1_total,nrfi_yrfi
backfill,2026-04-26,COL,NYM,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,COL,NYM,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,MIN,TB,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,WSH,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,NYY,HOU,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-26,PIT,MIL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,SEA,STL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,ATH,TEX,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-26,SD,AZ,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,MIA,SF,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-26,LAA,KC,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-26,CHC,LAD,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-25,BOS,BAL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,SEA,STL,,,,,,,,,,,,,,2,2,4,YRFI
backfill,2026-04-25,CLE,TOR,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,MIA,SF,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,MIN,TB,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,WSH,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,SD,AZ,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,ATH,TEX,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,LAA,KC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,NYY,HOU,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-25,PIT,MIL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,DET,CIN,,,,,,,,,,,,,,1,4,5,YRFI
backfill,2026-04-25,CHC,LAD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-25,PHI,ATL,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-24,DET,CIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,BOS,BAL,,,,,,,,,,,,,,0,4,4,YRFI
backfill,2026-04-24,CLE,TOR,,,,,,,,,,,,,,5,2,7,YRFI
backfill,2026-04-24,COL,NYM,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,MIN,TB,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-24,PHI,ATL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,LAA,KC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,WSH,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,PIT,MIL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-24,ATH,TEX,,,,,,,,,,,,,,3,0,3,YRFI
backfill,2026-04-24,NYY,HOU,,,,,,,,,,,,,,3,0,3,YRFI
