game,market,side,american,decimal,book,vig_free_pct
TOR @ TB,totals,UNDER 7.0,-110,1.9091,fanduel,50.0%
MIN @ WSH,moneyline,MIN,-110,1.9091,fanduel,50.4%
MIN @ WSH,moneyline,WSH,-106,1.9434,fanduel,49.6%
MIN @ WSH,run_line,MIN -1.5,+146,2.46,fanduel,
MIN @ WSH,run_line,WSH +1.5,-176,1.5682,fanduel,
MIN @ WSH,totals,OVER 9.0,-110,1.9091,fanduel,50.0%
MIN @ WSH,totals,UNDER 9.0,-110,1.9091,fanduel,50.0%
TEX @ NYY,moneyline,TEX,+100,2.0,fanduel,48.0%
TEX @ NYY,moneyline,NYY,-118,1.8475,fanduel,52.0%
TEX @ NYY,run_line,NYY +1.5,-194,1.5155,fanduel,
TEX @ NYY,run_line,TEX -1.5,+160,2.6,fanduel,
TEX @ NYY,totals,OVER 8.5,-115,1.8696,fanduel,51.1%
TEX @ NYY,totals,UNDER 8.5,-105,1.9524,fanduel,48.9%
CIN @ CHC,moneyline,CIN,+142,2.42,betonlineag,40.3%
CIN @ CHC,moneyline,CHC,-157,1.6369,betonlineag,59.7%
CLE @ KC,moneyline,CLE,-116,1.8621,fanduel,51.5%
CLE @ KC,moneyline,KC,-102,1.9804,fanduel,48.5%
CLE @ KC,run_line,CLE -1.5,+150,2.5,fanduel,
CLE @ KC,run_line,KC +1.5,-182,1.5495,fanduel,
CLE @ KC,totals,OVER 8.0,-105,1.9524,fanduel,48.9%
CLE @ KC,totals,UNDER 8.0,-115,1.8696,fanduel,51.1%
MIL @ STL,moneyline,MIL,-104,1.9615,fanduel,49.1%
MIL @ STL,moneyline,STL,-112,1.8929,fanduel,50.9%
MIL @ STL,run_line,MIL -1.5,+164,2.64,fanduel,
MIL @ STL,run_line,STL +1.5,-200,1.5,fanduel,
MIL @ STL,totals,OVER 7.5,-122,1.8197,fanduel,52.4%
MIL @ STL,totals,UNDER 7.5,+100,2.0,fanduel,47.6%
